Keyword,Available,Unavailable,Description,SourceLink
bodypain,"Biogesic, Medicol Advance 400, Neozep Forte, Neozep Non-Drowsy","Alaxan, Medicol Advance 200","Biogesic is a trusted brand of paracetamol, Paracetamol (Biogesic) is a medication that is typically used to relieve mild to moderate pain. 
According to the National Health Service in the UK, paracetamol is often recommended as one of the first treatments of pain because 
it gives relief for most people, even for children, breastfeeding and/or pregnant women, and the elderly. Biogesic (Paracetamol) 
exhibits analgesic and antipyretic activity by inhibiting prostaglandin synthesis. It produces analgesia by elevating the pain 
threshold and antipyresis through action on the hypothalamic heat-regulating center. 

Medicol Advance 400 contains Ibuprofen which belongs to a group of medicines called non-steroidal anti-inflammatory drugs (NSAIDs). 
Like other NSAIDs, Ibuprofen works by changing the body’s chemical response to pain, swelling and fever resulting in relief of 
symptoms of inflammation (e.g., swelling, redness) and relief of pain and/or fever. Ibuprofen given as a softgel capsule is absorbed 
more rapidly by the body compared to an ordinary tablet.

Neozep Forte is for fast relief from colds and all its symptoms which contains: Phenylephrine HCl (Nasal decongestant) reduces swelling 
and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal drip 
leading to cough. Chlorphenamine Maleate (Anti-Allergy) an antihistamine that relieves symptoms of allergy such as runny nose, sneezing, 
and itchy, watery eyes. Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.

Neozep Non-Drowsy is for dast relief from colds without the drowsy feeling which contains: Phenylephrine HCl (Nasal decongestant) reduces 
swelling and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal
drip leading to cough. And Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.","https://www.unilab.com.ph/biogesic/learn/articles/paracetamol-(biogesic)-care-and-relief-from-headaches-fever-and-minor-pain#:~:text=market%20since%201965.-,Product%20usage%20and%20safety,the%20common%20cold%20and%20flu. 
Biogesic Full Prescribing Information, Dosage & Side Effects | MIMS Philippines 
https://www.unilab.com.ph/products/neozep
https://www.unilab.com.ph/products/medicol-advance-400"
,,,,
,,,,
sneeze,"Cetirizine, Neozep Forte, Neozep Non-Drowsy","Antihistamines, Claritin,
Decolgen, Nafarin-A","Cetirizine, full name cetirizine hydrochloride, is a second generation antihistamine that reduces the natural chemical histamine in the body. 
Cetirizine relieves allergy symptoms by blocking histamine, a natural substance in your body usually released when it detects something harmful, 
such as an infection.Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Cetirizine is used to treat cold or 
allergy symptoms such as sneezing, itching, watery eyes, or runny nose. Cetirizine is also used to treat an allergic reaction, itching and 
swelling caused by chronic urticaria (hives) and minimizes or eliminates the symptoms of perennial allergic rhinitis, seasonal allergic rhinitis, 
chronic idiopathic urticaria, allergic asthma, physical urticaria, and atopic dermatitis.

Neozep Forte is for fast relief from colds and all its symptoms which contains: Phenylephrine HCl (Nasal decongestant) reduces swelling 
and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal drip 
leading to cough. Chlorphenamine Maleate (Anti-Allergy) an antihistamine that relieves symptoms of allergy such as runny nose, sneezing, 
and itchy, watery eyes. Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.

Neozep Non-Drowsy is for dast relief from colds without the drowsy feeling which contains: Phenylephrine HCl (Nasal decongestant) reduces 
swelling and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal
drip leading to cough. And Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.","https://www.unilab.com.ph/products/neozep
https://www.drugs.com/cetirizine-hcl.html
https://www.benadryl.co.uk/understanding-allergies/allergy-treatment/cetirizine"
sneezing,"Cetirizine, Neozep Forte, Neozep Non-Drowsy","Antihistamines, Claritin,
Decolgen, Nafarin-A","Cetirizine, full name cetirizine hydrochloride, is a second generation antihistamine that reduces the natural chemical histamine in the body. 
Cetirizine relieves allergy symptoms by blocking histamine, a natural substance in your body usually released when it detects something harmful, 
such as an infection.Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Cetirizine is used to treat cold or 
allergy symptoms such as sneezing, itching, watery eyes, or runny nose. Cetirizine is also used to treat an allergic reaction, itching and 
swelling caused by chronic urticaria (hives) and minimizes or eliminates the symptoms of perennial allergic rhinitis, seasonal allergic rhinitis, 
chronic idiopathic urticaria, allergic asthma, physical urticaria, and atopic dermatitis.

Neozep Forte is for fast relief from colds and all its symptoms which contains: Phenylephrine HCl (Nasal decongestant) reduces swelling 
and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal drip 
leading to cough. Chlorphenamine Maleate (Anti-Allergy) an antihistamine that relieves symptoms of allergy such as runny nose, sneezing, 
and itchy, watery eyes. Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.

Neozep Non-Drowsy is for dast relief from colds without the drowsy feeling which contains: Phenylephrine HCl (Nasal decongestant) reduces 
swelling and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal
drip leading to cough. And Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.",
,,,,
,,,,
nausea,Bonamine,"Dizitab, Motilium","Bonamine (Meclizine) belongs to the class of medications called anti-emetics (medications that prevent nausea and vomiting). 
Meclizine is used to prevent and relieve nausea, vomiting, and loss of balance associated with motion sickness, Ménière's 
disease, and other inner ear problems.","Bonamine - Uses, Side Effects, Interactions - MedBroadcast.com"
vomiting,Bonamine,"Dizitab, Motilium","Bonamine (Meclizine) belongs to the class of medications called anti-emetics (medications that prevent nausea and vomiting). 
Meclizine is used to prevent and relieve nausea, vomiting, and loss of balance associated with motion sickness, Ménière's 
disease, and other inner ear problems.","Bonamine - Uses, Side Effects, Interactions - MedBroadcast.com"
motion sickness,Bonamine,Dizitab,"Bonamine (Meclizine) belongs to the class of medications called anti-emetics (medications that prevent nausea and vomiting). 
Meclizine is used to prevent and relieve nausea, vomiting, and loss of balance associated with motion sickness, Ménière's 
disease, and other inner ear problems.","Bonamine - Uses, Side Effects, Interactions - MedBroadcast.com"
,,,,
allergy,Cetirizine,"Antihistamines, Claritin","Cetirizine, full name cetirizine hydrochloride, is a second generation antihistamine that reduces the natural chemical histamine in the body. 
Cetirizine relieves allergy symptoms by blocking histamine, a natural substance in your body usually released when it detects something harmful, 
such as an infection.Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Cetirizine is used to treat cold or 
allergy symptoms such as sneezing, itching, watery eyes, or runny nose. Cetirizine is also used to treat an allergic reaction, itching and 
swelling caused by chronic urticaria (hives) and minimizes or eliminates the symptoms of perennial allergic rhinitis, seasonal allergic rhinitis, 
chronic idiopathic urticaria, allergic asthma, physical urticaria, and atopic dermatitis.","https://www.drugs.com/cetirizine-hcl.html
https://www.benadryl.co.uk/understanding-allergies/allergy-treatment/cetirizine"
itchy eyes,Cetirizine,"Antihistamines, Claritin","Cetirizine, full name cetirizine hydrochloride, is a second generation antihistamine that reduces the natural chemical histamine in the body. 
Cetirizine relieves allergy symptoms by blocking histamine, a natural substance in your body usually released when it detects something harmful, 
such as an infection.Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Cetirizine is used to treat cold or 
allergy symptoms such as sneezing, itching, watery eyes, or runny nose. Cetirizine is also used to treat an allergic reaction, itching and 
swelling caused by chronic urticaria (hives) and minimizes or eliminates the symptoms of perennial allergic rhinitis, seasonal allergic rhinitis, 
chronic idiopathic urticaria, allergic asthma, physical urticaria, and atopic dermatitis.","https://www.drugs.com/cetirizine-hcl.html
https://www.benadryl.co.uk/understanding-allergies/allergy-treatment/cetirizine"
hives,Cetirizine,"Antihistamines, Claritin","Cetirizine, full name cetirizine hydrochloride, is a second generation antihistamine that reduces the natural chemical histamine in the body. 
Cetirizine relieves allergy symptoms by blocking histamine, a natural substance in your body usually released when it detects something harmful, 
such as an infection.Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Cetirizine is used to treat cold or 
allergy symptoms such as sneezing, itching, watery eyes, or runny nose. Cetirizine is also used to treat an allergic reaction, itching and 
swelling caused by chronic urticaria (hives) and minimizes or eliminates the symptoms of perennial allergic rhinitis, seasonal allergic rhinitis, 
chronic idiopathic urticaria, allergic asthma, physical urticaria, and atopic dermatitis.","https://www.drugs.com/cetirizine-hcl.html
https://www.benadryl.co.uk/understanding-allergies/allergy-treatment/cetirizine"
runny nose,Cetirizine,"Antihistamines, Claritin","Cetirizine, full name cetirizine hydrochloride, is a second generation antihistamine that reduces the natural chemical histamine in the body. 
Cetirizine relieves allergy symptoms by blocking histamine, a natural substance in your body usually released when it detects something harmful, 
such as an infection.Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Cetirizine is used to treat cold or 
allergy symptoms such as sneezing, itching, watery eyes, or runny nose. Cetirizine is also used to treat an allergic reaction, itching and 
swelling caused by chronic urticaria (hives) and minimizes or eliminates the symptoms of perennial allergic rhinitis, seasonal allergic rhinitis, 
chronic idiopathic urticaria, allergic asthma, physical urticaria, and atopic dermatitis.","https://www.drugs.com/cetirizine-hcl.html
https://www.benadryl.co.uk/understanding-allergies/allergy-treatment/cetirizine"
watery eyes,Cetirizine,"Antihistamines, Claritin","Cetirizine, full name cetirizine hydrochloride, is a second generation antihistamine that reduces the natural chemical histamine in the body. 
Cetirizine relieves allergy symptoms by blocking histamine, a natural substance in your body usually released when it detects something harmful, 
such as an infection.Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Cetirizine is used to treat cold or 
allergy symptoms such as sneezing, itching, watery eyes, or runny nose. Cetirizine is also used to treat an allergic reaction, itching and 
swelling caused by chronic urticaria (hives) and minimizes or eliminates the symptoms of perennial allergic rhinitis, seasonal allergic rhinitis, 
chronic idiopathic urticaria, allergic asthma, physical urticaria, and atopic dermatitis.","https://www.drugs.com/cetirizine-hcl.html
https://www.benadryl.co.uk/understanding-allergies/allergy-treatment/cetirizine"
,,,,
,,,,
vitamin c deficiency,Fern-C,"Ceelin Plus, Myrevit-C","FERN C contains sodium ascorbate, a form of Vitamin C that is more readily absorbed (up to 95% according to the US National Institutes of 
Health) by the body. The better absorption of a nutrient is, the more effective it becomes. And since it comes in capsule form, FERN C 
eliminates the need to use starch binders that reduce absorption and efficacy of vitamins. Since FERN-C is alkaline-based, a person who 
takes it neither feels bloated nor experiences intestinal and gastric irritation. It is also an all-natural vitamin C made from crystallized
powder that preserves the vitamin’s effectiveness and pureness. It is easily dissolved and absorbed by the body. Fern-C is given the Quali-C 
trademark of DSM Nutritionals. Quali-C is a seal of quality, reliability, and traceability in the manufacture of this non-acidic vitamin C, 
guaranteeing the safety and effectiveness of every capsule.","https://www.philstar.com/business/science-and-environment/2008/12/11/422509/fern-c-difference
FERN C, the sodium ascorbate vitamin without the acidic feel | BusinessMirror"
iron deficiency,Fern-C,"Ceelin Plus, Myrevit-C","FERN C contains sodium ascorbate, a form of Vitamin C that is more readily absorbed (up to 95% according to the US National Institutes of 
Health) by the body. The better absorption of a nutrient is, the more effective it becomes. And since it comes in capsule form, FERN C 
eliminates the need to use starch binders that reduce absorption and efficacy of vitamins. Since FERN-C is alkaline-based, a person who 
takes it neither feels bloated nor experiences intestinal and gastric irritation. It is also an all-natural vitamin C made from crystallized
powder that preserves the vitamin’s effectiveness and pureness. It is easily dissolved and absorbed by the body. Fern-C is given the Quali-C 
trademark of DSM Nutritionals. Quali-C is a seal of quality, reliability, and traceability in the manufacture of this non-acidic vitamin C, 
guaranteeing the safety and effectiveness of every capsule.","https://www.philstar.com/business/science-and-environment/2008/12/11/422509/fern-c-difference
FERN C, the sodium ascorbate vitamin without the acidic feel | BusinessMirror"
weak immunity,Fern-C,"Ceelin Plus, Myrevit-C","FERN C contains sodium ascorbate, a form of Vitamin C that is more readily absorbed (up to 95% according to the US National Institutes of 
Health) by the body. The better absorption of a nutrient is, the more effective it becomes. And since it comes in capsule form, FERN C 
eliminates the need to use starch binders that reduce absorption and efficacy of vitamins. Since FERN-C is alkaline-based, a person who 
takes it neither feels bloated nor experiences intestinal and gastric irritation. It is also an all-natural vitamin C made from crystallized
powder that preserves the vitamin’s effectiveness and pureness. It is easily dissolved and absorbed by the body. Fern-C is given the Quali-C 
trademark of DSM Nutritionals. Quali-C is a seal of quality, reliability, and traceability in the manufacture of this non-acidic vitamin C, 
guaranteeing the safety and effectiveness of every capsule.","https://www.philstar.com/business/science-and-environment/2008/12/11/422509/fern-c-difference
FERN C, the sodium ascorbate vitamin without the acidic feel | BusinessMirror"
,,,,
,,,,
diarrhea,Imodium,"Diatabs, Lomotil","IMODIUM™ contains an active ingredient called Loperamide, which works in harmony with your body to help restore the natural rhythm 
of your intestines, gently returning digestion to a normal pace. This allows the body to start absorbing fluids and salts as it should 
and to restore the consistency of stools.",https://www.imodium.com.ph/products/how-imodium-works
upset stomach,Imodium,"Diatabs, Lomotil","IMODIUM™ contains an active ingredient called Loperamide, which works in harmony with your body to help restore the natural rhythm 
of your intestines, gently returning digestion to a normal pace. This allows the body to start absorbing fluids and salts as it should 
and to restore the consistency of stools.",https://www.imodium.com.ph/products/how-imodium-works
loose stool,Imodium,"Diatabs, Lomotil","IMODIUM™ contains an active ingredient called Loperamide, which works in harmony with your body to help restore the natural rhythm 
of your intestines, gently returning digestion to a normal pace. This allows the body to start absorbing fluids and salts as it should 
and to restore the consistency of stools.",https://www.imodium.com.ph/products/how-imodium-works
,,,,
,, ,,
